ID,beaching_flag,time_start,time_end,drifter_id,latitude_start,latitude_end,longitude_start,longitude_end,velocity_east,velocity_north
480,False,2014-05-13 06:00:00,2014-05-14 06:00:00,300234061157630,33.81744,33.98782,35.36092,35.44024,0.0205,0.0443
479,False,2014-05-13 10:00:00,2014-05-14 10:00:00,300234061157620,33.67064,33.82185,35.38373,35.45544,0.0826,0.1952
224,False,2014-05-14 04:00:00,2014-05-15 04:00:00,300234060210780,0.11745,0.1092,43.01846,43.00934,0.0448,0.024
481,False,2014-05-15 01:00:00,2014-05-16 01:00:00,300234061157630,34.10858,34.20218,35.5228,35.56754,0.1296,0.1195
225,True,2014-05-15 04:00:00,2014-05-16 04:00:00,300234060210780,0.1092,0.23426,43.00934,43.12223,0.0053,0.0
482,False,2014-05-16 01:00:00,2014-05-17 01:00:00,300234061157630,34.20218,34.27697,35.56754,35.58237,0.0091,0.0946
483,False,2014-05-17 01:00:00,2014-05-18 01:00:00,300234061157630,34.27697,34.36284,35.58237,35.63601,0.0307,0.0976
484,False,2014-05-18 01:00:00,2014-05-19 01:00:00,300234061157630,34.36284,34.42296,35.63601,35.70015,0.0832,0.0961
485,False,2014-05-20 09:00:00,2014-05-21 09:00:00,300234061157630,34.62903,34.54106,35.84103,35.87377,0.1789,0.0795
486,False,2014-05-21 09:00:00,2014-05-22 09:00:00,300234061157630,34.54106,34.54768,35.87377,35.78274,-0.0378,-0.0735
1,False,2014-05-28 01:00:00,2014-05-29 01:00:00,131968,40.89174,40.85571,8.04288,8.07,-0.0139,-0.1212
114,False,2014-06-13 15:00:00,2014-06-14 15:00:00,300234011548420,63.72384,63.77617,-21.63876,-22.68648,-0.3417,0.2545
6,True,2014-06-15 02:00:00,2014-06-16 02:00:00,131970,37.68493,37.57838,-0.56782,-0.83161,-0.2615,-0.1855
115,True,2014-06-16 05:00:00,2014-06-17 05:00:00,300234011548420,64.13795,63.96873,-22.91915,-22.66602,0.1552,0.2091
2,False,2014-06-19 20:00:00,2014-06-20 20:00:00,131969,39.36414,39.41139,2.52397,2.48817,-0.0742,0.1456
3,False,2014-06-20 20:00:00,2014-06-21 20:00:00,131969,39.41139,39.5064,2.48817,2.4226,-0.0982,0.1286
4,True,2014-06-21 20:00:00,2014-06-22 20:00:00,131969,39.5064,39.53435,2.4226,2.45329,0.1096,0.079
159,False,2014-06-27 00:00:00,2014-06-28 00:00:00,300234011911500,61.4344,61.36341,-6.45258,-6.78153,-0.1091,-0.4326
160,False,2014-07-01 14:00:00,2014-07-02 14:00:00,300234011911500,61.91451,62.03909,-7.19416,-7.37033,0.1705,0.0398
161,False,2014-07-02 14:00:00,2014-07-03 14:00:00,300234011911500,62.03909,62.22125,-7.37033,-7.39038,-0.0756,0.1125
162,False,2014-07-03 14:00:00,2014-07-04 14:00:00,300234011911500,62.22125,62.35231,-7.39038,-7.30615,0.2625,0.4037
163,False,2014-07-04 14:00:00,2014-07-05 14:00:00,300234011911500,62.35231,62.39594,-7.30615,-7.21821,0.0529,0.0829
568,False,2014-07-16 22:00:00,2014-07-17 22:00:00,300234061501340,11.09129,11.19097,120.72268,120.75869,0.0792,0.0622
569,False,2014-07-23 03:00:00,2014-07-24 03:00:00,300234061502320,22.71695,22.74701,120.12236,120.19712,0.1905,-0.359
570,False,2014-07-24 03:00:00,2014-07-25 03:00:00,300234061502320,22.74701,22.98577,120.19712,120.10824,-0.065,0.0476
571,False,2014-07-25 03:00:00,2014-07-26 03:00:00,300234061502320,22.98577,23.31252,120.10824,119.99396,0.2185,-0.1742
57,False,2014-07-27 08:00:00,2014-07-28 08:00:00,300234011041330,33.99826,33.93889,10.99106,10.93932,0.2265,-0.3271
58,False,2014-07-28 08:00:00,2014-07-29 08:00:00,300234011041330,33.93889,33.95122,10.93932,10.87174,0.0864,-0.1494
149,False,2014-07-28 21:00:00,2014-07-29 21:00:00,300234011910500,61.93331,62.02848,-7.23327,-7.52172,0.2099,0.4254
59,False,2014-07-29 08:00:00,2014-07-30 08:00:00,300234011041330,33.95122,33.91305,10.87174,10.73841,0.2315,0.0191
150,False,2014-07-29 21:00:00,2014-07-30 21:00:00,300234011910500,62.02848,62.14495,-7.52172,-7.55166,-0.3619,0.1064
60,False,2014-07-30 08:00:00,2014-07-31 08:00:00,300234011041330,33.91305,33.85012,10.73841,10.66069,-0.204,-0.1356
151,False,2014-08-01 22:00:00,2014-08-02 22:00:00,300234011910500,62.2383,62.14971,-7.66101,-7.52054,0.3238,0.0073
152,False,2014-08-02 22:00:00,2014-08-03 22:00:00,300234011910500,62.14971,62.09197,-7.52054,-7.74686,-0.1099,-0.2079
153,False,2014-08-03 22:00:00,2014-08-04 22:00:00,300234011910500,62.09197,62.05753,-7.74686,-7.84,-0.2809,0.303
61,False,2014-08-03 22:00:00,2014-08-04 22:00:00,300234011041330,33.86308,33.86055,10.31872,10.26474,-0.0361,0.0372
62,False,2014-08-04 22:00:00,2014-08-05 22:00:00,300234011041330,33.86055,33.8482,10.26474,10.18166,-0.0181,0.0617
572,False,2014-08-06 00:00:00,2014-08-07 00:00:00,300234061502320,25.33829,25.25369,121.38322,121.73004,0.857,0.554
573,False,2014-08-07 00:00:00,2014-08-08 00:00:00,300234061502320,25.25369,25.22305,121.73004,121.74266,-0.1985,-0.1055
574,False,2014-08-08 00:00:00,2014-08-09 00:00:00,300234061502320,25.22305,25.31402,121.74266,121.69893,-0.0128,0.0523
575,False,2014-08-12 01:00:00,2014-08-13 01:00:00,300234061502320,25.33411,25.22504,121.71237,121.67713,-0.1557,-0.1495
576,False,2014-08-13 23:00:00,2014-08-14 23:00:00,300234061502320,25.33788,25.18042,121.59363,121.78345,0.1856,-0.1155
154,False,2014-08-14 07:00:00,2014-08-15 07:00:00,300234011910500,62.46346,62.22987,-6.6248,-6.43585,0.1954,-0.0814
577,False,2014-08-14 23:00:00,2014-08-15 23:00:00,300234061502320,25.18042,25.19703,121.78345,121.76751,-0.134,0.0598
578,False,2014-08-15 23:00:00,2014-08-16 23:00:00,300234061502320,25.19703,25.15393,121.76751,121.87335,0.4315,-0.2081
34,False,2014-08-16 01:00:00,2014-08-17 01:00:00,300234010163390,58.39377,58.45411,-5.37959,-5.055,0.2722,0.3907
155,False,2014-08-17 00:00:00,2014-08-18 00:00:00,300234011910500,62.24079,61.85632,-6.65711,-6.6248,0.0511,-0.8262
156,False,2014-08-18 00:00:00,2014-08-19 00:00:00,300234011910500,61.85632,61.64789,-6.6248,-6.78033,0.1976,-0.2653
579,False,2014-08-18 04:00:00,2014-08-19 04:00:00,300234061502320,25.18286,25.09335,121.75624,121.96764,0.1541,0.0636
157,False,2014-08-19 00:00:00,2014-08-20 00:00:00,300234011910500,61.64789,61.422,-6.78033,-6.63259,0.1938,-0.4309
580,False,2014-08-19 04:00:00,2014-08-20 04:00:00,300234061502320,25.09335,25.04041,121.96764,121.93455,0.5528,-0.5812
5,True,2014-09-11 16:00:00,2014-09-12 16:00:00,131969,38.76231,38.67964,1.22006,1.51954,0.1038,0.099
175,False,2014-09-20 18:00:00,2014-09-21 18:00:00,300234011915950,70.35396,70.23169,20.44149,20.46696,-0.1763,-0.2329
176,False,2014-09-21 18:00:00,2014-09-22 18:00:00,300234011915950,70.23169,70.2448,20.46696,20.55361,0.0365,-0.0519
177,False,2014-09-22 18:00:00,2014-09-23 18:00:00,300234011915950,70.2448,70.25119,20.55361,20.76553,0.071,-0.0241
178,False,2014-09-23 18:00:00,2014-09-24 18:00:00,300234011915950,70.25119,70.2708,20.76553,20.48366,-0.06,0.1237
179,False,2014-09-24 18:00:00,2014-09-25 18:00:00,300234011915950,70.2708,70.18675,20.48366,20.33376,-0.2838,-0.1414
180,False,2014-09-25 18:00:00,2014-09-26 18:00:00,300234011915950,70.18675,70.30309,20.33376,20.61794,0.0878,0.0557
181,False,2014-10-03 14:00:00,2014-10-04 14:00:00,300234011916510,62.00858,62.27932,-7.61552,-7.34256,0.0382,0.4284
488,True,2014-10-04 22:00:00,2014-10-05 22:00:00,300234061361160,62.15934,62.0938,-166.0165,-166.09442,-0.097,-0.0992
489,False,2014-10-09 22:00:00,2014-10-10 22:00:00,300234061361160,62.08949,61.99042,-166.09528,-166.11324,-0.0071,-0.0429
315,True,2014-10-10 14:00:00,2014-10-11 14:00:00,300234060658110,-10.08267,-10.14623,51.27898,51.18528,-0.4331,-0.1469
490,False,2014-10-10 22:00:00,2014-10-11 22:00:00,300234061361160,61.99042,61.91855,-166.11324,-166.13278,0.0487,-0.0954
491,False,2014-10-11 22:00:00,2014-10-12 22:00:00,300234061361160,61.91855,61.87163,-166.13278,-166.15492,-0.0081,-0.0395
492,False,2014-10-12 22:00:00,2014-10-13 22:00:00,300234061361160,61.87163,61.8278,-166.15492,-166.21092,0.0173,-0.0667
116,True,2014-10-13 03:00:00,2014-10-14 03:00:00,300234011548420,63.9688,63.9684,-22.66613,-22.61439,-1e-04,-0.0002
493,True,2014-10-13 22:00:00,2014-10-14 22:00:00,300234061361160,61.8278,61.79067,-166.21092,-166.23936,-0.015,-0.0578
182,False,2014-10-16 08:00:00,2014-10-17 08:00:00,300234011916510,62.14231,62.20414,-6.24874,-6.44139,-0.2079,-0.0232
494,False,2014-10-17 22:00:00,2014-10-18 22:00:00,300234061361160,61.78148,61.76731,-166.25061,-166.25153,0.0006,-0.0031
7,False,2014-10-18 12:00:00,2014-10-19 12:00:00,131972,40.07378,39.98771,3.1277,2.86527,-0.0957,-0.5379
495,True,2014-10-18 22:00:00,2014-10-19 22:00:00,300234061361160,61.76731,61.76489,-166.25153,-166.24889,0.0005,-0.0041
217,False,2014-10-26 21:00:00,2014-10-27 21:00:00,300234060207600,51.32075,51.41445,-9.73077,-9.55325,0.001,0.0454
496,True,2014-10-26 22:00:00,2014-10-27 22:00:00,300234061361160,61.79676,61.8186,-166.22148,-166.1735,0.0033,0.0103
218,False,2014-10-27 21:00:00,2014-10-28 21:00:00,300234060207600,51.41445,51.4344,-9.55325,-9.55453,0.0606,0.002
219,False,2014-10-28 21:00:00,2014-10-29 21:00:00,300234060207600,51.4344,51.45188,-9.55453,-9.78951,-0.1619,-0.0684
